start_token_n_1based,segment_size_c,layer_idx,unique_expert_count_mean,count,std,min,max
-1,6,34,24.10843137254902,5100,3.7422086792920335,13,38
-1,6,35,25.29980392156863,5100,3.7600776480259603,13,38
-1,6,36,24.473529411764705,5100,3.7242526958959834,12,38
-1,6,37,28.35549019607843,5100,4.06667552532798,11,41
-1,6,38,25.45470588235294,5100,3.7466475060485767,13,37
-1,6,39,23.498823529411766,5100,3.7822935952138224,11,38
-1,6,40,25.37549019607843,5100,3.707535572119971,10,37
-1,6,41,27.140588235294118,5100,3.8454196203201607,13,42
-1,6,42,26.749019607843138,5100,3.8183079245338534,11,41
-1,6,43,23.28921568627451,5100,3.59851156997828,11,39
-1,6,44,23.456470588235295,5100,3.471378404492873,12,40
-1,6,45,22.892745098039217,5100,3.851996412480488,12,38
-1,6,46,25.415294117647058,5100,4.144014817466101,11,42
-1,6,47,29.66392156862745,5100,4.603859359055806,12,45
-1,8,0,45.60494791666667,3840,4.634202045496597,24,58
-1,8,1,39.64661458333333,3840,4.155403214661824,23,52
-1,8,2,36.061197916666664,3840,4.267758006015791,18,50
-1,8,3,34.268229166666664,3840,4.097843572903919,19,48
-1,8,4,31.959635416666668,3840,3.990766351113575,16,49
-1,8,5,31.046614583333334,3840,4.085969104661315,15,46
-1,8,6,24.1984375,3840,3.8477399930583682,11,40
-1,8,7,22.971875,3840,3.577991337460218,11,36
-1,8,8,26.60859375,3840,3.868599635923977,15,43
-1,8,9,26.254947916666666,3840,3.8079517434896464,14,40
-1,8,10,28.777083333333334,3840,4.093119765824473,16,42
-1,8,11,29.555208333333333,3840,3.956269678173146,16,43
-1,8,12,28.297135416666666,3840,3.775200761437663,16,41
-1,8,13,31.411458333333332,3840,4.031198203552563,17,47
-1,8,14,27.668489583333333,3840,3.730606262960166,15,43
-1,8,15,25.44453125,3840,3.7588199709366865,13,40
-1,8,16,28.08359375,3840,3.6618662588344892,16,45
-1,8,17,30.078385416666666,3840,3.796853895314654,15,42
-1,8,18,21.244270833333335,3840,3.8996554759404605,10,37
-1,8,19,20.92109375,3840,3.395563176454779,11,35
-1,8,20,23.9578125,3840,3.72439301291704,12,40
-1,8,21,24.475,3840,3.8711198843015766,14,40
-1,8,22,27.1921875,3840,4.0629382164917205,13,42
-1,8,23,28.49921875,3840,3.958300409897678,16,44
-1,8,24,26.96328125,3840,3.7760926099430954,15,41
-1,8,25,30.934895833333332,3840,4.108255209255438,13,44
-1,8,26,27.321614583333332,3840,3.7272818311485993,16,42
-1,8,27,25.34609375,3840,3.9487812689935455,12,43
-1,8,28,28.028125,3840,3.805952293121254,11,44
-1,8,29,29.88359375,3840,4.186675747860827,15,45
-1,8,30,20.529947916666668,3840,3.8190565610242015,11,35
-1,8,31,20.296875,3840,3.7462341080324153,9,35
-1,8,32,23.917708333333334,3840,3.9703904035479796,13,40
-1,8,33,24.512760416666666,3840,3.978889812698394,14,40
-1,8,34,28.207291666666666,3840,4.140379743609309,16,42
-1,8,35,29.681770833333335,3840,4.16453489140979,14,44
-1,8,36,28.504166666666666,3840,4.131276814759594,16,43
-1,8,37,33.25390625,3840,4.499412175616664,16,48
-1,8,38,29.59765625,3840,4.226504978831814,17,44
-1,8,39,27.189583333333335,3840,4.332795132252465,12,42
-1,8,40,29.469791666666666,3840,4.131735885280965,14,45
-1,8,41,31.648697916666666,3840,4.285679294433859,13,47
-1,8,42,30.953385416666666,3840,4.225681416111767,13,47
-1,8,43,26.707291666666666,3840,4.217670682283915,15,43
-1,8,44,26.817447916666666,3840,4.125759175037321,15,43
-1,8,45,26.1953125,3840,4.502134471784665,13,45
-1,8,46,29.417447916666667,3840,4.853300678754766,14,46
-1,8,47,34.38359375,3840,5.413747813043912,13,54
-1,10,0,52.2202614379085,3060,5.298835161331811,26,70
-1,10,1,45.26633986928105,3060,4.669527746758726,23,63
-1,10,2,40.62875816993464,3060,4.6796796397032985,18,56
-1,10,3,38.83562091503268,3060,4.472805384681827,19,54
-1,10,4,35.83039215686274,3060,4.381563111743806,17,52
-1,10,5,34.75,3060,4.282052756457816,17,48
-1,10,6,26.71797385620915,3060,4.181624032381251,12,43
-1,10,7,25.28627450980392,3060,3.9560028635266944,12,40
-1,10,8,29.68660130718954,3060,4.223505987789846,15,45
-1,10,9,29.29901960784314,3060,4.242848609282346,17,47
-1,10,10,32.33104575163399,3060,4.466564267554334,17,45
-1,10,11,33.23006535947712,3060,4.370771070106454,19,47
-1,10,12,31.71764705882353,3060,4.174599285611857,17,46
-1,10,13,35.09705882352941,3060,4.473823233150972,21,50
-1,10,14,30.85424836601307,3060,4.143668481378592,15,45
-1,10,15,28.205555555555556,3060,4.140697540446908,13,45
-1,10,16,31.24019607843137,3060,4.010139807499931,17,47
-1,10,17,33.4375816993464,3060,4.222833606639138,17,48
-1,10,18,23.29313725490196,3060,4.231146512647802,11,39
-1,10,19,22.88921568627451,3060,3.6816538044841907,11,37
