algorithm,cache_ratio,step,iso_alpha_mean,iso_alpha_std,seq_alpha_mean,seq_alpha_std,iso_total,seq_total,alpha_decay,iso_stop_rate,seq_stop_rate
W1_SimScale,0.250,7,0.5570,0.2913,0.2571,0.3582,0.6188,0.4008,0.2961,0.0000,0.0000
W1_SimScale,0.250,8,0.5106,0.2651,0.2084,0.3288,0.6188,0.4008,0.2961,0.0000,0.0000
W2_HitRenorm,0.500,1,0.9115,0.0726,0.9115,0.0726,0.6853,0.7254,0.6366,0.0000,0.0000
W2_HitRenorm,0.500,2,0.7092,0.2375,0.9149,0.1153,0.6853,0.7254,0.6366,0.0000,0.0000
W2_HitRenorm,0.500,3,0.6980,0.1869,0.8108,0.3236,0.6853,0.7254,0.6366,0.0000,0.0000
W2_HitRenorm,0.500,4,0.6851,0.2894,0.7323,0.3555,0.6853,0.7254,0.6366,0.0000,0.0000
W2_HitRenorm,0.500,5,0.6542,0.2853,0.6277,0.4369,0.6853,0.7254,0.6366,0.0000,0.0000
W2_HitRenorm,0.500,6,0.6010,0.2613,0.6485,0.4069,0.6853,0.7254,0.6366,0.0000,0.0000
W2_HitRenorm,0.500,7,0.6184,0.2941,0.5771,0.4515,0.6853,0.7254,0.6366,0.0000,0.0000
W2_HitRenorm,0.500,8,0.6048,0.2910,0.5803,0.4588,0.6853,0.7254,0.6366,0.0000,0.0000
W2_HitRenorm,0.250,1,0.6595,0.2439,0.6595,0.2439,0.5604,0.3678,0.3163,0.0000,0.0000
W2_HitRenorm,0.250,2,0.6317,0.2146,0.5141,0.3438,0.5604,0.3678,0.3163,0.0000,0.0000
W2_HitRenorm,0.250,3,0.5505,0.2832,0.4141,0.3710,0.5604,0.3678,0.3163,0.0000,0.0000
W2_HitRenorm,0.250,4,0.6077,0.2680,0.3693,0.3848,0.5604,0.3678,0.3163,0.0000,0.0000
W2_HitRenorm,0.250,5,0.5811,0.2704,0.2956,0.3563,0.5604,0.3678,0.3163,0.0000,0.0000
W2_HitRenorm,0.250,6,0.4733,0.2627,0.2524,0.3230,0.5604,0.3678,0.3163,0.0000,0.0000
W2_HitRenorm,0.250,7,0.5187,0.2785,0.2287,0.3440,0.5604,0.3678,0.3163,0.0000,0.0000
W2_HitRenorm,0.250,8,0.4608,0.2823,0.2086,0.3366,0.5604,0.3678,0.3163,0.0000,0.0000
W3_UniformRedist,0.500,1,0.9126,0.0706,0.9126,0.0706,0.6862,0.7227,0.6387,0.0000,0.0000
W3_UniformRedist,0.500,2,0.7158,0.2282,0.9176,0.1228,0.6862,0.7227,0.6387,0.0000,0.0000
W3_UniformRedist,0.500,3,0.6907,0.1869,0.8065,0.3282,0.6862,0.7227,0.6387,0.0000,0.0000
W3_UniformRedist,0.500,4,0.6918,0.2904,0.7143,0.3767,0.6862,0.7227,0.6387,0.0000,0.0000
W3_UniformRedist,0.500,5,0.6548,0.2821,0.6294,0.4375,0.6862,0.7227,0.6387,0.0000,0.0000
W3_UniformRedist,0.500,6,0.6023,0.2602,0.6487,0.4083,0.6862,0.7227,0.6387,0.0000,0.0000
W3_UniformRedist,0.500,7,0.6169,0.2956,0.5694,0.4593,0.6862,0.7227,0.6387,0.0000,0.0000
W3_UniformRedist,0.500,8,0.6046,0.2904,0.5829,0.4549,0.6862,0.7227,0.6387,0.0000,0.0000
W3_UniformRedist,0.250,1,0.6881,0.2419,0.6881,0.2419,0.5833,0.4372,0.3612,0.0000,0.0000
W3_UniformRedist,0.250,2,0.6233,0.2162,0.6058,0.3080,0.5833,0.4372,0.3612,0.0000,0.0000
W3_UniformRedist,0.250,3,0.5851,0.2615,0.5614,0.3426,0.5833,0.4372,0.3612,0.0000,0.0000
